age,gender,country,mascu_sec,working,gnorm_executives,gnorm_nurses,competitiveness,risk_tolerance,depression_score,cgi,male,rand
44,Female,Brazil,,0,Agree,Agree,5,10,1.75,0,0,.62895143
32,Female,Brazil,,0,Agree,Agree,8,6,4,2,0,.6944893
45,Male,Chile,,0,Disagree,Strongly agree,10,7,2.5,10,1,.53172415
25,Male,Chile,1,1,Agree,Strongly disagree,7,5,2,10,1,.62071073
30,Male,Argentina,0,1,Agree,Strongly agree,9,8,2.75,7,1,.82134819
42,Female,Brazil,,0,Strongly agree,Agree,10,7,1.75,0,0,.66926003
46,Male,Argentina,0,1,Strongly agree,Strongly agree,8,5,2,8,1,.60482764
52,Female,Argentina,0,1,Agree,Strongly agree,1,1,1.25,3,0,.64265847
36,Female,Argentina,0,1,Strongly agree,Agree,6,7,2,2,0,.72970718
44,Female,Brazil,,0,Strongly agree,Strongly agree,5,5,3.25,0,0,.60977942
45,Female,Argentina,,0,Agree,Agree,8,7,2,0,0,.6836853
38,Female,Brazil,,0,Strongly agree,Strongly disagree,5,1,4.25,5,0,.89891773
42,Female,Brazil,0,1,Strongly disagree,Agree,8,4,1.75,0,0,.55408305
40,Female,Brazil,0,1,Strongly agree,Strongly agree,8,1,4.75,3,0,.75959837
27,Male,Brazil,,0,Agree,Agree,10,8,2.25,7,1,.64331722
64,Female,Chile,,0,Strongly agree,Strongly agree,2,2,2.75,0,0,.50174093
44,Female,Argentina,,0,Strongly agree,Strongly agree,1,1,1.75,2,0,.62394476
51,Female,Argentina,0,1,Strongly agree,,9,5,3,5,0,.60612535
60,Female,Argentina,0,1,Agree,Agree,5,3,1.25,2,0,.76210338
